source,evidence_level,security_master_coverage,delisting_support,daily_prices,corporate_actions,fundamentals,pit_support,stable_identifiers,api_key_required,free_limits,paid_minimum_if_unavoidable,licensing_constraints,practical_download_size,quality_concerns,recommended_use,source_urls
Alpha Vantage,SEARCH_REPORTED_DOCS_AND_DNS_FAILED_PROBES,"LISTING_STATUS historical US stock/ETF date and state lead after 2010-01-01; no CSV inspected",Advertised delisted state; preservation in old active snapshots NOT TESTED,Daily/raw/adjusted history and entitlement NOT VERIFIED,Split/dividend completeness and access NOT VERIFIED,Not evaluated for quality; SEC preferred,Historical membership hypothesis unresolved; future attributes and revisions require independent gating,None certified; ticker continuity/schema not inspected,Advertised yes; no key configured; DNS failure did not test enforcement,"25 calls/day search-reported only; 200 active snapshots imply 8 days IF confirmed",UNKNOWN current premium price and endpoint entitlement,Current terms not retrieved; free access must not be treated as redistribution permission,"Not measured; assumed 15000 rows x 100 bytes x 200 snapshots = 300 MB",No final-delisting-return proof; price acquisition may dominate quota; cannot join ticker strings blindly,Conditional monthly-universe candidate only; require later-delisted cohort falsification,https://www.alphavantage.co/documentation/#listing-status | https://www.alphavantage.co/support/ | https://www.alphavantage.co/premium/ | https://www.alphavantage.co/terms_of_service/
Nasdaq Trader,DNS_FAILED_DOCS_CURRENT_DIRECTORY_LEAD,"nasdaqlisted/otherlisted current symbols and exchange/security flags; no historical archive established",No retrospective dead-security coverage established,Not established from directories,Not established from directories,No,Current file is not historical membership; prospective snapshots cannot backfill 2010,None certified; symbol and exchange are aliases,Public-file lead; live file not obtained,UNKNOWN current access limits,UNKNOWN archival product if required,Current directory/data terms not retrieved; public download is not assumed open redistribution,Not measured; snapshot size unknown,"ETF/test flags insufficient for full common-equity taxonomy; current constituent bias",Current reference cross-check only,https://www.nasdaqtrader.com/Trader.aspx?id=SymbolDirDefs | https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt | https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt
Massive / Polygon,OFFICIAL_PINNED_SDK_READ_LIVE_API_DNS_FAILED,"SDK date/active contract; market/type/exchange filters; default page 100 max 1000; live historical breadth unknown",Optional delisted_utc and historical reference contract; no lifecycle or terminal-value sample,"SDK daily OHLCV and grouped aggregates; include_otc defaults false; full-period access untested",Split-adjusted aggregate option; separate action models with adjustment factors; terminal coverage unproved,Do not consume overview SEC-derived attributes as filing-time facts,"Membership as-of documented; overview date may use later-filed SEC report-period data",Optional composite_figi/share_class_figi/CIK; no universal continuity verified,Yes in official SDK; no key configured; actual entitlement untested,"Current free limit/history UNKNOWN; search-reported short basic history not certified",UNKNOWN current 2010-capable individual plan price,Current terms not retrieved; personal plan and redistribution restrictions require confirmation,"Not measured; hypothetical 10000 rows/date requires 2000 pages for 200 snapshots",Period-end PIT leak in overview contract; string events resolve current entity; split adjustment not total return; OTC default omission,Strong reference/identity candidate subject to live cohort and terminal tests,https://github.com/massive-com/client-go/blob/d24412df7b80e8b1996f2a0c97587cd2e0214e0f/rest/models/tickers.go | https://massive.com/pricing | https://massive.com/legal/market-data-terms-of-service
SEC CompanyFacts / submissions / original XBRL,DNS_FAILED_SAMPLES,"Issuer CIK/submissions not a security master; historical filers and archive pages required",Filings can describe events; no listing/return dataset,No exchange price dataset,Issuer event disclosures possible; no normalized complete action feed,Primary candidate for accession-level profitability/leverage/cash-flow/accrual inputs,"Must join original accession to accepted/public timestamps; preserve contexts and restatement vintages; NOT TESTED",CIK for issuer; accession for filing; neither uniquely identifies a share class,No API key proposed; fair-access identity needed; no production recorder used,"Current fair-access rate and archive sizes not re-read; bounded serial sample failed DNS",None proposed for official filing layer; reconstruction labor remains,Review SEC access policy; do not infer uniform rights for embedded third-party filing content,No bytes acquired; bulk sizes UNKNOWN,CompanyFacts period end is not availability; date-only filed insufficient; custom tags and bank-regulator gaps; current issuer mappings survivor-select,Free historical-quality candidate only after real filing/restatement integrity proof,https://www.sec.gov/search-filings/edgar-application-programming-interfaces | https://www.sec.gov/data-research/sec-markets-data/financial-statement-data-sets
Norgate US Stocks,OFFICIAL_PUBLISHER_PYTHON_DOCS_READ_NO_MARKET_DATA,"Documented asset IDs/subtypes/first-last quoted dates; major-exchange vs OTC series from 2000; constituent series",Delisted last-quoted-date interface documented; complete population and terminal returns untested,Documented OHLCV/turnover/unadjusted close and adjustment modes,"NONE/CAPITAL/CAPITALSPECIAL/TOTALRETURN; dividend-column semantics; capital-event indicator",Current summary fields are not a validated historical quality layer,"Historical major-exchange and index series require Platinum/Diamond; original publication vintages not established",Documented unique unchanging assetid; retain dated alias mappings,Active subscription and running Windows updater; WSL2 mirrored networking documented,"No free full-history access established; trial terms/depth unverified","Platinum or Diamond required for historical series; current minimum dollar price UNKNOWN",Retention after expiry and export/cloud/personal-use rights not verified,Not measured; local updater database/export footprint unknown,No terminal consideration sample; padding can hide missingness; last quote not payout; Windows dependency,Strong documented paid candidate but no purchase recommendation until coverage/price/license/sample gates,https://pypi.org/project/norgatedata/ | https://pypi.org/project/zipline-norgatedata/ | https://norgatedata.com/stockmarketpackages.php | https://norgatedata.com/data-package-faq.php
Sharadar SEP / TICKERS / ACTIONS,UNVERIFIED_PROVIDER_LEAD_DOCS_DNS_FAILED,"Active/dead equity prices and companion reference/actions lead; no historical metadata sample",Advertised dead securities; no complete terminal-event chain established,SEP equity EOD lead; exact current historical depth unverified,Companion ACTIONS adjustment coverage/access unverified,Separate SF1 optional,"Historical bars and current reference dates do not prove contemporaneous classification or availability",permaticker is a lead; mapping not tested,Subscription/API authorization expected; no account checked,"Companion table/sample free entitlements UNKNOWN",UNKNOWN; Nasdaq Data Link and direct-channel pricing must not be conflated,Full current license and export/retention terms unverified,Not measured; bulk API footprint unknown,"First-added/first-price dates not IPO proof; current exchange/category not full historical state",Paid acquisition candidate after sample and channel-specific terms; no purchase,https://data.nasdaq.com/databases/SEP/documentation | https://sharadar.com/docs/tickers | https://sharadar.com/docs/stocks | https://sharadar.com/subscribe
Sharadar SF1,UNVERIFIED_PROVIDER_LEAD_DOCS_DNS_FAILED,Not a standalone historical security master,No independent delisting return role,No substitute for SEP,No substitute for price/action audit,As-reported versus most-recent fundamental dimension lead,"ARQ/ARY/ART versus MRQ/MRY/MRT and datekey require primary verification; NOT an observed PIT test",Issuer/security links via companion master untested,Subscription authorization expected; untested,UNKNOWN,UNKNOWN current fundamentals minimum; not required if SEC proof succeeds,Current personal/retention/redistribution terms unverified,Not measured,Must distinguish filing date from fiscal/calendar period and later restatements,Optional paid convenience layer only; do not buy to avoid SEC integrity proof,https://data.nasdaq.com/databases/SF1/documentation | https://sharadar.com/docs/fundamentals
Sharadar SFP,UNVERIFIED_PROVIDER_LEAD,Fund-price candidate rather than common-stock master,Not evaluated,Fund EOD candidate; not common-equity SEP,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Untested,UNKNOWN,UNKNOWN; not needed for target universe,Current terms unverified,Not measured,Wrong primary product for common-stock mission,Do not substitute SFP for SEP,https://data.nasdaq.com/databases/SFP
Tiingo,UNVERIFIED_PROVIDER_LEAD_DOCS_DNS_FAILED,Supported-ticker start/end metadata lead; full historical listing state unproved,Complete delisted universe and terminal values unproved,Raw/adjusted EOD lead; exact coverage/access untested,Split/dividend fields lead; no event sample,Not evaluated for quality,No verified historical membership/publication-vintage contract,None certified,API key lead; no account checked,UNKNOWN current quotas,UNKNOWN current individual price,Current intended-use/redistribution/retention rights unverified,Not measured,Supported price interval not IPO/delisting proof; permanent issue identity unproved,Price/action comparator only until security-master and terminal gates pass,https://www.tiingo.com/documentation/end-of-day | https://www.tiingo.com/about/pricing
EODHD,UNVERIFIED_PROVIDER_LEAD_DOCS_DNS_FAILED,Exchange-symbol and delisted-list leads; PIT master not certified,delisted=1 lead; pre-2018 separate-action coverage caveat requires confirmation,EOD lead; no sample acquired,Historical delisted action depth unverified; do not assume adjusted bars solve missing explicit events,Not selected; SEC preferred,No historical membership or original-vintage proof,None certified,API key lead; no account checked,UNKNOWN current demo/free limits,UNKNOWN current EOD plan price,Current license and retention/redistribution rights unverified,Not measured,Date-dependent delisted coverage and stable-ID continuity require audit; terminal outcomes unknown,Low-cost comparator not certified full-period stack,https://eodhd.com/pricing | https://eodhd.com/financial-apis/delisted-stock-companies-data-2
