"provider","historical_coverage","announcement_timestamp_quality","reported_eps","reported_revenue","historical_consensus","revision_history","analyst_count","guidance","corporate_actions","price_history","pit_semantics","api_key_needed","free_limits","minimum_paid_tier","licensing","known_biases","recommended_role","evidence_class","actual_observations","source_urls"
"SEC EDGAR / submissions / XBRL","Filings span target period; XBRL phased in from 2009; 2010 tag coverage not uniform; full joined coverage not measured","Acceptance metadata available; NOT earliest earnings release; exhibit timing must be verified separately","Original releases and accounting filings; adjusted EPS often untagged","Original releases and accounting filings; quarter/YTD/tag reconciliation needed","NO analyst consensus","Amended filings and original accessions; NOT analyst revision history","NO","8-K/exhibits and other filings may preserve original text and ranges; extraction/publication time need audit","Some disclosure evidence; not a complete prices/actions security master","NO tradable market-price history","Select original accession by availability; current companyfacts/frames are not automatically as-of; prospective eligibility remains fetched_at","No; identifying User-Agent and fair-access compliance required","Public access; published fair-access ceiling 10 requests/second; no paid tier","None for public filings","Public access is not blanket permission to redistribute every issuer exhibit; preserve attribution and review reuse","Filing lag; restatements; custom tags; untagged adjusted EPS; missing release session; amendments; current ticker mappings","Original-document actuals/guidance/provenance; cannot supply expectations","INDEXED documentation; BLOCKED direct SEC requests","AAPL/MSFT/META/ATVI submissions DNS failure; no filing response or acceptance timestamp retrieved","https://www.sec.gov/search-filings/edgar-application-programming-interfaces | https://www.sec.gov/about/developer-resources | https://www.sec.gov/files/form8-k.pdf"
"Massive / Polygon with Benzinga","Indexed earnings start 2010-04-30; guidance start 2011-09-12; equity-price lookback depends on separate plan","Earnings date/time and confirmation/update metadata documented; scheduled versus actual and timezone need sample verification","Documented earnings actual EPS","Documented earnings actual revenue","Event estimate fields documented; pre-release frozen vintage NOT demonstrated","last_updated is NOT an as-of archive; analyst ratings are NOT EPS-estimate revision history","UNVERIFIED for exact earnings entitlement","Separate structured guidance feed; ranges/periods/prior values; text completeness and version history unverified","Separate stock splits/dividends/reference endpoints; entitled inactive coverage untested","Indexed stock plans: free 2 years; Starter 5; Developer 10; Advanced 20+ years","Event history is not consensus history; no proven historical as-of revision retrieval; corrections require contract/sample audit","Yes","Indexed Stocks Basic: 5 calls/minute and 2-year history; does not establish free Benzinga access","INDEXED not checkout-verified: Benzinga Earnings $99/month; Corporate Guidance separate $99/month; stocks $29/$79/$199 monthly for 5/10/20+ years","Individual and business entitlements differ; retention/derived-data/publication rights not verified","Projected event dates; revised rows; missing counts/vintages; 2010 Q1 earnings gap; no 2010 guidance; price-plan history truncation","Retail event-session candidate; separate guidance candidate; do not accept consensus without vintage proof","INDEXED documentation/pricing; BLOCKED direct requests","AAPL 2023-02-02 earnings request failed DNS before authentication; no historical row","https://massive.com/docs/rest/partners/benzinga/earnings | https://massive.com/docs/rest/partners/benzinga/corporate-guidance | https://massive.com/pricing | https://massive.com/blog/benzingadata-partnership"
"Nasdaq public earnings website / calendar","Historical calendar/earnings pages; 2010-2026 bulk completeness and retention unverified; NOT Nasdaq Data Link Zacks subscription","Session icons/date fields can exist; upcoming dates may be algorithmic predictions rather than confirmed releases","Displayed earnings results/consensus comparisons; exact accessible schema unobserved","Historical revenue actual availability unverified for this web endpoint","Displayed consensus is not a preserved pre-announcement snapshot","No verified revision archive","May appear in web earnings tables; no historical vintage validated","No verified systematic guidance history","Not a joined corporate-action source","Website quotes are not an entitled complete historical OHLCV dataset","Current website and surprise tables do not establish immutable historical consensus or observation timestamps","No public-page key; undocumented web endpoint is not a supported licensed API commitment","Free display; no verified bulk quota or archival guarantee","None verified for historical bulk use; commercial Data Link products are separate","Nasdaq/Zacks website terms; free viewing does not authorize systematic redistribution or bulk extraction","Predicted dates; current/revised consensus; unstable web schema; limited history and unclear reuse","Spot corroboration/discovery only; reject as PIT consensus source","INDEXED documentation; BLOCKED direct requests","Calendar 2023-02-02 and AAPL earnings-surprise requests failed DNS","https://www.nasdaq.com/market-activity/earnings | https://www.nasdaq.com/market-activity/stocks/ea/earnings | https://data.nasdaq.com/databases/ZEEH"
"Alpha Vantage","Earnings history start unverified; official transcript claim since 2010Q1; price history described as 20+ years","Detailed historical release-time/session coverage unobserved; EARNINGS_CALENDAR is forward-looking 3/6/12 months","EARNINGS annual/quarterly EPS documented","Separate income statements for actual revenue; not established in EPS earnings response","EARNINGS quarterly estimates; EARNINGS_ESTIMATES EPS/revenue consensus claim; historical vintage selector not shown","EARNINGS_ESTIMATES claims revisions; original historical dated versions not established","Claimed by EARNINGS_ESTIMATES; live response field names unverified","Transcripts/sentiment available by documented fiscal-quarter query; no verified structured guidance or original publication time","Daily adjusted close/split/dividend data documented","Raw daily OHLCV and adjusted-close endpoint; full-price history claim is not earnings coverage","Reviewed earnings/estimates wrappers take only symbol; fiscal history and revision claim do not prove archived as-of consensus","Yes; public demo exists with restricted behavior not observed here","INDEXED 25 requests/day; demo/free exact endpoint entitlement unverified","No exact current price or minimum EARNINGS_ESTIMATES entitlement verified","Personal/noncommercial terms require use review; no bulk redistribution right established","Date/session gaps; latest estimates; revised fundamentals; incompatible EPS basis; HTTP200 can contain error payload","Discovery and spot comparison; transcript candidate; reject strict consensus use pending vintage evidence","DIRECT_SCHEMA official MCP source; INDEXED pricing; BLOCKED API","IBM demo earnings/estimates/calendar/adjusted-price requests failed DNS; no rows","https://github.com/alphavantage/alpha_vantage_mcp/blob/18465ac2ecc05f125e5460e4e0909f32dcab92cf/api/src/av_api/tools/fundamental_data.py | https://github.com/alphavantage/alpha_vantage_mcp/blob/18465ac2ecc05f125e5460e4e0909f32dcab92cf/api/src/av_api/tools/alpha_intelligence.py | https://www.alphavantage.co/premium/ | https://www.alphavantage.co/terms_of_service/"
"Financial Modeling Prep","Generic plan 5/30-year history claims; actual historical earnings/consensus field coverage unverified","Indexed stable earnings has date and lastUpdated; session/time and fiscal-end mapping not established","Indexed epsActual","Indexed revenueActual","epsEstimated/revenueEstimated plus analyst-estimates; effective vintage unverified","No demonstrated timestamped historical revision series","Indexed numAnalystsEps and numAnalystsRevenue","No verified timestamped structured historical guidance","Price/action products documented; exact stable adjustment fields and entitlement need verification","Stable historical-price-eod/full and dividend-adjusted endpoints; no rows inspected","Current lastUpdated and estimate-period date do not establish pre-release consensus; do not reuse legacy schemas blindly","Yes; literal demo probes do not establish supported demo entitlement","INDEXED 250 calls/day; no proof deep earnings/estimates free","INDEXED leads only: Starter $22/month equivalent annually billed; Premium $59; Ultimate $149; exact endpoint eligibility/current checkout unverified","Display/redistribution needs licensing agreement; internal-use scope unverified","Fiscal/date misjoins; date-only releases; revised rows; plan depth mistaken for field depth","Possible actuals/calendar corroboration; not accepted PIT consensus","INDEXED only; BLOCKED API","AAPL stable earnings/estimates/calendar/price demo requests failed DNS","https://site.financialmodelingprep.com/developer/docs/stable/earnings-company | https://site.financialmodelingprep.com/developer/docs/stable/financial-estimates | https://site.financialmodelingprep.com/developer/docs/stable/earnings-calendar | https://site.financialmodelingprep.com/developer/docs/pricing | https://site.financialmodelingprep.com/pricing-plans"
"Finnhub","INDEXED dedicated Estimate-1 10 years; Estimate-2 20+ years and 20-year calendar; no rows validated","Official calendar date plus hour=bmo/amc/dmh; category not exact release time","Official calendar epsActual and surprise actual","Official calendar revenueActual","EPS/revenue averages/high/low and fiscal period; models say includes Finnhub proprietary estimates","No effective consensus timestamp or historical vintage archive in inspected models","numberAnalysts in EPS/revenue models","Transcript schema exists; no qualified historical structured guidance","Separate candle/dividend/split endpoints","Historical candles documented; actual depth and inactive outcomes unverified","Historical fiscal periods are not observation dates; proprietary estimates not automatically pure analyst consensus","Yes","INDEXED 60 calls/minute; deep estimates/calendar entitlement not established","INDEXED dedicated Estimate-1 $75/month/market; Estimate-2 $200/month/market; current minimum commitment and checkout unverified","Personal/business redistribution and retention terms require review; not verified","Proprietary consensus component; no vintage time; null session; current/fiscal history conflation","Session/calendar candidate and comparison source; no accepted historical PIT estimates","DIRECT_SCHEMA official Go SDK; INDEXED pricing; BLOCKED API","AAPL surprises/estimates/calendar/candle anonymous requests failed DNS","https://github.com/Finnhub-Stock-API/finnhub-go/blob/8071bcd46ca5101adcef7a844c96b81a3eceb76e/model_earnings_estimates_info.go | https://github.com/Finnhub-Stock-API/finnhub-go/blob/8071bcd46ca5101adcef7a844c96b81a3eceb76e/model_revenue_estimates_info.go | https://github.com/Finnhub-Stock-API/finnhub-go/blob/8071bcd46ca5101adcef7a844c96b81a3eceb76e/model_earning_release.go | https://finnhub.io/pricing-stock-estimates"
"EODHD","Generic 30+ year marketing is not observed 2010 earnings/vintage coverage; history and inactive completeness untested","Calendar report_date=announcement and date=fiscal end; nullable before_after_market; future dates approximate","Calendar actual/estimate and fundamentals Earnings History; accounting basis varies","Separate fundamentals statements; calendar EPS fields do not supply revenue actual","Trends EPS/revenue means/ranges/counts; no recorded exact estimate-change timestamp","Rolling EPS 7/30/60/90-day comparisons and revision counts; not an archived dated revision ledger","Separate EPS/revenue counts documented","No verified publication-versioned guidance source","Separate EOD package includes splits/dividends; volume is split-adjusted and close split/dividend-adjusted","Raw OHLC plus adjusted close; split-adjusted volume must not be assumed raw for dollar liquidity","Official FAQ says no exact estimate-change timestamp and no retained two versions of fundamentals; strict historical revisions/restatement PIT fails","Yes; published demo restrictions not live-verified","Provider-source free plan 20 calls/day and past-year history; no calendar/fundamentals entitlement","Provider-source variable prices: Calendar $19.99/month includes earnings/trends; EOD $19.99 separately; Fundamentals $59.99 excludes EOD; All-In-One $99.99; current checkout unverified","Self-serve personal-use plans; business internal research separately licensed; retention/redistribution must be confirmed","Restatements overwrite; approximate dates; null sessions; symbols query ignores from/to; GAAP/non-GAAP exceptions; adjusted volume","Cheapest substantiated endpoint-specific calendar+price qualification candidate at advertised $39.98/month; NOT a PIT consensus solution","DIRECT_SCHEMA official reference/FAQ/subscriptions; BLOCKED API","Calendar/trends/fundamentals/EOD demo requests failed DNS; repeated failures not repeat observations","https://github.com/EodHistoricalData/EODHD-MCP-Server/blob/1b38b8ecd669dc93b04738d2f6f7458539edada6/app/resources/references/general/fundamentals-faq.md | https://github.com/EodHistoricalData/EODHD-MCP-Server/blob/1b38b8ecd669dc93b04738d2f6f7458539edada6/app/resources/references/endpoints/upcoming-earnings.md | https://github.com/EodHistoricalData/EODHD-MCP-Server/tree/1b38b8ecd669dc93b04738d2f6f7458539edada6/app/resources/references/subscriptions"
"Tiingo","Long EOD history/inactive instruments advertised in indexed documentation; actual 2010-2026 coverage unverified","No qualified earnings-event timestamp product established","No comparable earnings-release actuals product established","No comparable earnings-release actuals product established","No historical PIT consensus product established","No analyst revision archive established","Not established","No qualified guidance archive established","EOD docs lead: dividends/split factors/raw and adjusted fields; inactive terminal outcomes untested","EOD price candidate; active/inactive completeness and corrections unobserved","Prices can support returns after action/identity audit; no earnings/expectation PIT inferred","Yes for API","Current free quota/history/licensing not verified","Current exact minimum full-history entitlement and price not verified","Personal/organizational use and dataset retention/publication permissions require review","Inactive history not necessarily delisting proceeds; action adjustments and symbol reuse; survivorship untested","Alternative price-only backbone; not a consensus or release-time source","INDEXED leads; BLOCKED API","AAPL 2010-01-04/05 anonymous EOD request failed DNS","https://www.tiingo.com/documentation/end-of-day | https://www.tiingo.com/documentation/general/overview | https://www.tiingo.com/account/billing/pricing"
"Sharadar SEP / SF1 / events","Indexed SEP history from 1998 with inactive stocks; full target period not observed; current Direct offer needs separate verification","SF1/event dates do not establish actual earnings-release session/time","SF1 accounting EPS; original-release adjusted EPS not established","SF1 accounting revenue; as-reported selection must be verified","NO Sharadar analyst-consensus product established; Zacks is a separate entitlement","As-reported/restated fundamentals are not analyst estimate revisions","NO analyst count established","No qualified guidance-text/version archive established","Stocks/actions/reference leads; terminal delisting proceeds still need audit","SEP/current Direct stocks are candidate full-history price sources","As-reported fundamental dimensions need availability audit; ticker/date/event tables alone do not solve earnings timing","Yes for commercial data access","Free samples and current history entitlement not verified","Current full-history price/contract unverified; do not recycle old Nasdaq bundle prices as current Direct quote","Current Direct/Nasdaq contract and redistribution/retention rights unverified","Accounting dates mistaken for earnings; inactive prices mistaken for full terminal outcomes; current mapping/survivorship","Alternative price/security backbone; actuals cross-check only; separate prior stock audit dependency","INDEXED leads; BLOCKED API","AAPL 2010-01-04/05 SEP request failed DNS; no rows","https://sharadar.com/docs/stocks | https://sharadar.com/docs/fundamentals | https://sharadar.com/docs/events | https://sharadar.com/subscribe | https://data.nasdaq.com/databases/SEP"
"Intrinio / Zacks","Historical EPS/sales surprise/estimate products documented; 2010 coverage and exact historical entitlement not observed","Surprise model has actual_reported_date/time/code BTO/DTM/AMC; timezone/source not specified in inspected model","Surprise eps_actual is Non-GAAP interpreted by Zacks","Sales surprise model distinguishes Non-GAAP/Zacks adjustment/GAAP sales","Surprise eps_mean_estimate explicitly pre-earnings release; ordinary estimate date explicitly period end not vintage","Ordinary EPS lagged means and sales revision aggregates; no proven vintage archive; last_rev_date not full version history","EPS surprise pre-release count and estimate counts documented; sales-surprise count not a separate inspected property","Endpoint prose mentions guidance but inspected surprise models lack guidance range/version fields","Separate products","Separate market-price entitlement; not validated","Strong event-surprise schema candidate but freeze/correction contract unverified; ordinary period-end estimates not PIT history","Yes","No free historical entitlement verified","Historical/PIT SKU and price not verified; product/sales inquiry required; no institution-only inference","Product-specific research/retention/redistribution licence and inactive coverage require contract","Old SDK docs; no timezone/freeze proof; Zacks Non-GAAP mismatch; period-end dates mistaken for observation dates","Best inspected schema lead for commercial pre-release event consensus; require entitled sample before acceptance","DIRECT_SCHEMA official SDK; INDEXED product leads; BLOCKED API","Historical EPS estimates/surprises anonymous requests failed DNS; no records","https://github.com/intrinio/python-sdk/blob/master/docs/ZacksEPSEstimate.md | https://github.com/intrinio/python-sdk/blob/master/docs/ZacksSalesEstimate.md | https://github.com/intrinio/python-sdk/blob/master/docs/ZacksEPSSurprise.md | https://github.com/intrinio/python-sdk/blob/master/docs/ZacksSalesSurprise.md | https://intrinio.com/products/eps-estimates"
